,TimeStamp,Generator Name,Power Generated By Generator,Fuel Cost,Emission Cost,Opex Cost,Capex Cost
0,00:00:00,G1,PG1,470,10.2,1.25,5
1,00:00:00,G10,PG10,4.23579545454545,10.2,1.25,5
2,00:00:00,G11,PG11,77.3809523809524,12.58,6.4,11.41
3,00:00:00,G12,PG12,4.23579545454545,10.2,1.25,5
4,00:00:00,G13,PG13,16.0493827160494,16.32,6.1,14.27
5,00:00:00,G2,PG2,0,0,5.7,16.42
6,00:00:00,G3,PG3,4.23579545454545,10.2,1.25,5
7,00:00:00,G4,PG4,4.23579545454545,10.2,1.25,5
8,00:00:00,G5,PG5,0,0,5.2,14.5
9,00:00:00,G6,PG6,0,0,5.7,24.7
10,00:00:00,G7,PG7,0,0,5.7,16.42
11,00:00:00,G8,PG8,0,0,5.7,24.7
12,00:00:00,G9,PG9,4.23579545454545,10.2,1.25,5
