,TimeStamp,Route Of Transmission,Cost of Transmission,Power Transmission
0,00:00:00,TL1,0.22,PG1_D1
1,00:00:00,TL3,0.11,PG10_D3
2,00:00:00,TL1,0.22,PG11_D6
3,00:00:00,TL1,0.22,PG12_D4
4,00:00:00,TL1,0.22,PG13_D1
5,00:00:00,TL6,0.15,PG2_D2
6,00:00:00,TL7,0.27,PG2_D3
7,00:00:00,TL4,0.18,PG3_D2
8,00:00:00,TL16,0.19,PG4_D4
9,00:00:00,TL20,0.07,PG5_D5
10,00:00:00,TL11,0.15,PG6_D6
11,00:00:00,TL19,0.18,PG7_D5
12,00:00:00,TL18,0.2,PG8_D5
13,00:00:00,TL12,0.09,PG9_D3
14,00:00:00,TL3,0.11,PD1_D2
15,00:00:00,T5,0.11,PD2_D3
16,00:00:00,TL14,0.11,PD4_D3
17,00:00:00,TL17,0.2,PD5_D3
18,00:00:00,TL8,0.27,PD6_D2
19,00:00:00,TL9,0.25,PD6_D3
20,00:00:00,TL3,0.11,PD2_D1
21,00:00:00,T5,0.11,PD3_D2
22,00:00:00,TL14,0.11,PD3_D4
23,00:00:00,TL17,0.2,PD3_D5
24,00:00:00,TL8,0.27,PD2_D6
25,00:00:00,TL9,0.25,PD3_D6
